,Cruise Ship
22-01,0.0
23-01,0.0
24-01,0.0
25-01,0.0
26-01,0.0
27-01,0.0
28-01,0.0
29-01,0.0
30-01,0.0
31-01,0.0
01-02,0.0
02-02,0.0
03-02,0.0
04-02,0.0
05-02,0.0
06-02,0.0
07-02,0.0
08-02,0.0
09-02,0.0
10-02,0.0
11-02,0.0
12-02,0.0
13-02,0.0
14-02,0.0
15-02,0.0
16-02,0.0
17-02,0.0
18-02,0.0
19-02,1.0
20-02,1.0
21-02,1.0
22-02,1.0
23-02,0.0
24-02,0.0
25-02,0.0
26-02,10.0
27-02,10.0
28-02,10.0
29-02,10.0
01-03,10.0
02-03,10.0
03-03,10.0
04-03,10.0
05-03,10.0
06-03,40.0
07-03,40.0
08-03,40.0
09-03,40.0
10-03,40.0
11-03,325.0
12-03,325.0
13-03,325.0
14-03,325.0
15-03,325.0
16-03,325.0
17-03,325.0
18-03,325.0
19-03,325.0
20-03,325.0
21-03,325.0
22-03,325.0
23-03,325.0
