,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
22-01,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-01,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-01,31.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-01,32.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-01,42.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27-01,45.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-01,80.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-01,88.0,5.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-01,90.0,10.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31-01,141.0,11.0,3.0,14.0,2.0,3.0,7.0,2.0,5.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
01-02,168.0,14.0,3.0,21.0,8.0,5.0,9.0,3.0,6.0,3.0,3.0,2.0,9.0,10.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
02-02,295.0,15.0,10.0,32.0,16.0,7.0,12.0,6.0,7.0,7.0,11.0,2.0,9.0,10.0,3.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
03-02,386.0,21.0,16.0,43.0,22.0,14.0,18.0,7.0,8.0,9.0,14.0,2.0,12.0,10.0,3.0,1.0,7.0,0.0,5.0,4.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
04-02,522.0,30.0,27.0,62.0,31.0,20.0,20.0,11.0,12.0,9.0,14.0,4.0,23.0,12.0,4.0,3.0,10.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
05-02,633.0,49.0,47.0,78.0,54.0,23.0,27.0,15.0,23.0,15.0,24.0,7.0,24.0,15.0,6.0,11.0,13.0,6.0,5.0,5.0,9.0,2.0,5.0,6.0,0.0,4.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0
06-02,817.0,69.0,56.0,94.0,81.0,34.0,37.0,27.0,34.0,24.0,31.0,8.0,31.0,25.0,13.0,14.0,14.0,9.0,7.0,8.0,6.0,2.0,12.0,6.0,0.0,5.0,4.0,0.0,4.0,1.0,3.0,1.0,0.0
07-02,1115.0,88.0,86.0,123.0,112.0,47.0,45.0,37.0,43.0,31.0,42.0,12.0,33.0,30.0,22.0,20.0,17.0,17.0,12.0,10.0,6.0,2.0,15.0,9.0,0.0,7.0,4.0,0.0,5.0,5.0,3.0,1.0,0.0
08-02,1439.0,112.0,116.0,175.0,156.0,59.0,55.0,44.0,51.0,39.0,60.0,13.0,34.0,41.0,30.0,24.0,17.0,20.0,17.0,14.0,7.0,4.0,21.0,12.0,0.0,8.0,4.0,0.0,5.0,15.0,3.0,1.0,0.0
09-02,1795.0,141.0,153.0,201.0,186.0,72.0,73.0,63.0,71.0,51.0,71.0,14.0,37.0,44.0,34.0,35.0,18.0,25.0,18.0,19.0,7.0,4.0,25.0,16.0,0.0,12.0,12.0,0.0,5.0,13.0,3.0,1.0,0.0
10-02,2222.0,167.0,191.0,242.0,208.0,88.0,105.0,66.0,81.0,66.0,80.0,30.0,44.0,48.0,41.0,39.0,24.0,30.0,19.0,19.0,10.0,8.0,25.0,17.0,0.0,13.0,13.0,0.0,5.0,13.0,3.0,1.0,0.0
11-02,2639.0,212.0,218.0,270.0,247.0,105.0,128.0,80.0,93.0,79.0,85.0,28.0,48.0,52.0,48.0,45.0,33.0,32.0,20.0,20.0,17.0,10.0,30.0,24.0,0.0,19.0,18.0,3.0,5.0,22.0,5.0,1.0,0.0
12-02,2686.0,275.0,246.0,321.0,304.0,127.0,152.0,92.0,125.0,102.0,92.0,31.0,56.0,57.0,54.0,53.0,32.0,43.0,26.0,27.0,18.0,11.0,33.0,31.0,1.0,20.0,22.0,3.0,6.0,24.0,9.0,2.0,1.0
13-02,3459.0,314.0,296.0,360.0,339.0,157.0,170.0,105.0,139.0,128.0,104.0,33.0,69.0,62.0,68.0,57.0,33.0,46.0,27.0,30.0,27.0,21.0,36.0,39.0,1.0,22.0,24.0,6.0,6.0,24.0,11.0,3.0,1.0
14-02,4774.0,362.0,357.0,403.0,364.0,193.0,187.0,136.0,157.0,152.0,114.0,47.0,80.0,90.0,87.0,63.0,36.0,54.0,36.0,43.0,28.0,31.0,38.0,39.0,1.0,29.0,25.0,6.0,6.0,24.0,11.0,3.0,1.0
15-02,5623.0,410.0,391.0,428.0,425.0,221.0,210.0,156.0,186.0,184.0,119.0,68.0,98.0,124.0,101.0,71.0,44.0,60.0,42.0,39.0,41.0,37.0,46.0,49.0,1.0,31.0,26.0,10.0,7.0,33.0,13.0,3.0,1.0
16-02,6639.0,465.0,440.0,456.0,464.0,255.0,240.0,173.0,218.0,207.0,131.0,79.0,108.0,140.0,105.0,82.0,49.0,71.0,42.0,52.0,46.0,45.0,50.0,54.0,2.0,40.0,30.0,12.0,8.0,33.0,13.0,5.0,1.0
17-02,7862.0,524.0,509.0,507.0,498.0,280.0,275.0,191.0,258.0,225.0,156.0,85.0,114.0,161.0,122.0,90.0,53.0,79.0,47.0,59.0,57.0,46.0,53.0,58.0,2.0,43.0,34.0,12.0,8.0,35.0,13.0,5.0,1.0
18-02,9128.0,565.0,522.0,535.0,527.0,361.0,310.0,211.0,280.0,254.0,169.0,111.0,122.0,177.0,136.0,93.0,69.0,89.0,57.0,79.0,66.0,48.0,61.0,62.0,2.0,53.0,36.0,12.0,8.0,42.0,15.0,5.0,1.0
19-02,10337.0,606.0,573.0,604.0,561.0,413.0,362.0,231.0,318.0,274.0,188.0,120.0,145.0,186.0,152.0,112.0,86.0,102.0,60.0,84.0,70.0,54.0,68.0,65.0,5.0,55.0,37.0,20.0,10.0,42.0,16.0,5.0,1.0
20-02,11788.0,642.0,637.0,633.0,634.0,474.0,433.0,254.0,356.0,299.0,217.0,136.0,153.0,199.0,169.0,126.0,90.0,118.0,79.0,86.0,72.0,59.0,76.0,71.0,6.0,59.0,43.0,22.0,16.0,44.0,16.0,6.0,1.0
